time,x,y
41.208,326,87
41.250,327,86
41.291,326,87
41.333,326,86
41.375,329,87
41.416,329,86
41.458,328,85
41.500,329,85
41.542,329,86
41.583,331,85
41.625,328,85
41.667,330,84
41.708,330,84
41.750,333,84
41.792,330,84
41.833,332,85
41.875,335,83
41.917,332,83
41.959,334,83
42.000,332,83
42.042,334,86
42.084,330,86
42.125,333,87
42.167,333,87
42.209,334,87
42.251,331,87
42.292,332,88
42.334,332,88
42.376,329,88
42.417,329,87
42.459,331,87
42.501,333,87
42.543,334,87
42.584,333,87
42.626,333,87
42.668,332,86
42.709,332,87
42.751,332,86
42.793,331,87
42.834,331,87
42.876,333,86
42.918,330,87
42.960,334,87
43.001,332,87
43.043,332,88
43.085,332,88
43.126,332,87
43.168,334,87
43.210,336,86
43.252,335,87
43.293,334,87
43.335,333,87
43.377,334,88
43.418,331,88
43.460,332,87
43.502,334,87
43.543,333,86
43.585,328,86
43.627,330,86
43.669,330,86
43.710,330,87
43.752,331,87
43.794,331,87
43.835,330,86
43.877,331,87
43.919,331,87
43.961,330,87
44.002,333,87
44.044,334,87
44.086,334,87
44.127,333,87
44.169,333,87
44.211,332,87
44.253,330,86
44.294,333,87
44.336,332,85
44.378,332,87
44.419,332,86
44.461,332,87
44.503,333,87
44.545,334,87
44.586,333,87
44.628,330,87
44.670,330,87
44.711,333,87
44.753,333,87
44.795,334,87
44.836,333,87
44.878,335,87
44.920,334,88
44.962,338,91
45.003,337,92
45.045,337,92
45.087,336,92
45.128,337,92
45.170,337,92
45.212,338,93
45.254,338,93
45.295,338,93
45.337,337,92
45.379,335,93
45.420,335,92
45.462,335,93
45.504,337,92
45.546,337,93
45.587,337,92
45.629,335,93
45.671,337,93
45.712,337,94
45.754,338,93
45.796,338,93
45.837,337,92
45.879,338,92
45.921,336,91
45.963,335,93
46.004,335,92
46.046,336,91
46.088,337,91
46.129,340,91
46.171,337,91
46.213,335,92
46.255,334,92
46.296,335,92
46.338,336,92
46.380,336,93
46.421,337,93
46.463,338,93
46.505,338,92
46.546,341,94
46.588,339,95
46.630,342,95
46.672,341,95
46.713,341,95
46.755,338,95
46.797,340,95
46.838,341,95
46.880,341,96
46.922,342,96
46.964,343,95
47.005,343,96
47.047,345,98
47.089,343,98
47.130,345,99
47.172,344,99
47.214,344,100
47.256,345,99
47.297,345,99
47.339,345,100
47.381,346,100
47.422,346,100
47.464,346,99
47.506,345,100
47.548,347,100
